Name,Genre,Price,Positive_Reviews,Negative_Reviews,Developer,Release_Date
Drakensang: The River of Time,RPG,14.99,154,37,DTP,2011-02-16
Elizabeth Find M.D. - Diagnosis Mystery - Season 2,Casual,14.99,16,13,"Gunnar Games, Inc.",2011-06-09
Arma 2,Action;Simulation;Strategy,7.99,1728,357,Bohemia Interactive,2009-06-29
Arma 2: Operation Arrowhead,Action;Simulation;Strategy,11.99,17683,1519,Bohemia Interactive,2010-06-29
Fish Fillets 2,Casual;Indie,3.99,151,56,Altar Games,2010-11-05
Pound of Ground,Action,8.99,78,49,Centauri Production,2010-11-05
Alternativa,Adventure,9.99,83,86,Centauri Production,2010-11-05
Alpha Protocol™,Action;RPG,9.99,3113,785,Obsidian Entertainment,2010-05-27
Total War: NAPOLEON – Definitive Edition,Strategy,0.0,8540,907,CREATIVE ASSEMBLY;Feral Interactive (Mac),2010-02-25
Sonic & SEGA All-Stars Racing,Racing,4.99,614,173,Sumo Digital,2010-03-03
Death to Spies: Moment of Truth,Action,4.99,260,42,Haggard Games,2009-08-07
XIII Century – Gold Edition,Strategy,3.99,55,57,Unicorn Games Studio,2009-08-28
Light of Altair,Indie;Simulation;Strategy,11.99,31,7,SaintXi,2009-06-04
Order of War™,Strategy,5.99,270,98,Wargaming.net,2009-09-17
Massive Assault,Strategy,6.99,6,2,Wargaming.net,2009-11-04
Massive Assault: Phantom Renaissance,Strategy,6.99,11,2,Wargaming.net,2009-11-04
Chronicles of Mystery: The Scorpio Ritual,Adventure,3.99,46,23,City Interactive S.A.,2009-06-18
Project Freedom,Action;Simulation,2.99,80,26,City Interactive,2009-10-14
Combat Wings: Battle of Britain,Simulation,4.99,373,101,City Interactive,2009-10-14
Sniper: Ghost Warrior,Action,5.99,2143,1728,City Interactive,2010-06-24
Sniper: Ghost Warrior 2,Action,6.99,6775,2724,City Interactive,2013-03-11
Bad Rats: the Rats' Revenge,Indie,0.79,10465,2981,Invent4 Entertainment,2009-07-20
Razor2: Hidden Skies,Action;Casual;Indie,6.99,49,154,Invent4 Entertainment,2010-07-19
Mini Ninjas,Action;Adventure,7.99,1612,270,IO Interactive,2009-09-14
Flora's Fruit Farm,Casual,2.99,58,28,Honeyslug,2009-10-01
Lara Croft and the Guardian of Light,Action;Adventure,7.99,2506,237,Crystal Dynamics,2010-09-28
Batman: Arkham Asylum Game of the Year Edition,Action;Adventure,14.99,20297,865,Rocksteady Studios;Feral Interactive (Mac),2010-03-26
Warfare,Strategy,9.99,73,26,GFI Russia,2009-07-20
Clutch,Action;Racing,6.99,90,44,Targem Games,2009-07-20
Insane 2,Racing,10.99,329,67,Targem Games,2012-01-24
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,Action;Massively Multiplayer;Simulation,14.99,26922,2274,Tripwire Interactive,2011-09-13
The Ball,Action;Adventure;Indie,6.99,606,210,Teotl Studios,2010-10-26
Dwarfs!?,Strategy;Indie;Casual,7.99,619,177,Power of 2,2011-05-04
Big Brain Wolf,Adventure;Casual;Strategy,3.99,44,37,Frima,2009-11-05
Trine Enchanted Edition,Action;Adventure;Indie,9.99,9448,407,Frozenbyte,2009-07-02
Trine 2: Complete Story,Action;Adventure;Indie,13.99,16369,706,Frozenbyte,2013-06-06
BRAINPIPE: A Plunge to Unhumanity,Casual;Indie,0.0,126,22,Digital Eel,2009-07-06
Foreign Legion: Buckets of Blood,Action;Indie,3.99,184,111,Sakari Indie,2009-08-04
Tradewinds Classics,Casual,3.99,43,2,Sandlot Games,2009-07-17
Tradewinds Caravans + Odyssey Pack,Casual,10.99,4,1,Sandlot Games,2009-07-17
Cake Mania Collection,Casual,10.99,28,11,Sandlot Games,2009-07-17
Monster Mash,Casual,3.49,11,3,Sandlot Games,2009-07-17
Kuros,Casual,4.99,7,0,Sandlot Games,2009-09-21
Cake Mania Main Street™,Casual,4.99,13,5,Sandlot Games,2010-02-16
Westward® IV: All Aboard,Strategy;Casual,4.99,11,1,Sandlot Games,2010-02-16
Iron Roses,Adventure;Casual,4.99,4,3,Cateia Games,2010-02-16
Angle of Attack,Action;Simulation,6.99,0,2,3000AD,2009-08-17
All Aspect Warfare,Action;Simulation,6.99,3,8,3000AD,2009-08-17
The Void,Nudity;Action;Adventure,6.99,581,126,Ice-Pick Lodge,2009-12-15
Ninja Blade,Action,6.99,128,72,FromSoftware,2009-11-19
UFO: Extraterrestrials Gold,Strategy,9.99,122,43,Chaos Concept,2010-02-17
Aztaka,Action;RPG;Indie,3.99,94,39,Citeremis Inc.,2009-11-05
Chocolatier®: Decadence by Design™,Simulation,7.49,51,23,"Big Splash Games, LLC",2009-08-12
Cooking Dash®,Simulation,7.49,27,9,Aliasworlds Entertainment,2009-08-12
Diaper Dash®,Simulation,7.49,13,2,Zemnott,2009-08-12
Diner Dash:® Hometown Hero™,Simulation,7.49,26,66,PlayFirst,2009-08-12
Emerald City Confidential™,Adventure,7.49,50,3,Wadjet Eye Games,2009-08-12
Wandering Willows™,Adventure;RPG,10.99,20,0,PlayFirst,2009-08-12
Wedding Dash® 2: Rings Around the World,Simulation,7.49,13,3,Sarbakan,2009-08-12
DinerTown Tycoon,Simulation,6.99,8,5,PlayFirst,2009-09-30
DinerTown Detective Agency™,Casual,4.99,4,10,Absolutist Ltd.,2010-05-06
The Nightshift Code™,Casual,4.99,2,3,PlayFirst,2010-05-06
Nightshift Legacy: The Jaguar's Eye™,Casual,4.99,3,1,PlayFirst,2010-05-06
Fitness Dash™,Casual,4.99,8,0,Sarbakan,2010-05-06
TriJinx: A Kristine Kross Mystery™,Casual,4.99,3,1,PlayFirst,2010-05-06
Valerie Porter and the Scarlet Scandal™,Casual,4.99,5,6,PlayFirst,2010-05-06
Gemini Lost™,Casual,4.99,12,1,PlayFirst,2010-05-06
"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",Adventure;Indie,2.99,494,118,Size Five Games,2009-08-25
Magnetis ,Indie;Casual,1.49,33,9,Yullaby,2009-11-05
Windosill,Adventure;Casual;Indie,1.99,821,85,Vectorpark,2009-09-25
Darkest of Days,Action,14.99,158,63,8monkey Labs,2010-03-01
Quantz,Indie;Casual,7.99,24,13,Gamerizon,2009-09-03
Jewel Quest Pack,Casual,14.99,19,3,iWin,2009-08-24
Mahjong Quest Collection,Casual,6.99,20,2,iWin,2009-08-24
Coconut Queen,Casual;Simulation,6.99,11,1,iWin,2009-12-17
Build-A-Lot,Simulation,6.99,11,2,Hip Soft,2009-12-17
Build-A-Lot 2: Town of the Year,Simulation,6.99,3,0,Hip Soft,2009-12-17
Build-A-Lot 3: Passport to Europe,Simulation,6.99,2,0,Hip Soft,2009-12-17
Build-A-Lot 4: Power Source,Simulation,6.99,4,3,Hip Soft,2009-12-17
Farm Frenzy,Casual,3.99,19,2,Alawar,2010-02-15
